time,open,high,low,close,,
1.61E+12,48478.12,49400,48310.4,49295.47,,
1.61E+12,49285.76,49448.93,48832.17,49173.85,,
1.61E+12,49173.85,49398,48890.97,49035.21,,
1.61E+12,49035.2,49389.99,48673.71,49061.76,,
1.61E+12,49061.77,49160.29,48579.59,48751.71,,
1.61E+12,48746.81,49156,48675.67,48808.05,,
1.61E+12,48807.83,48901.65,48520,48647.38,,
1.62E+12,48647.37,48801.81,48350,48657.72,,
1.62E+12,48657.72,48687.49,48115.83,48451.16,,
1.62E+12,48450.12,48895.32,48193,48496.28,,
1.62E+12,48496.27,48971.29,48482.17,48922,,
1.62E+12,48922,49117.32,48772.24,48820.12,,
1.62E+12,48820.13,49100,48600,48641.64,,
1.62E+12,48641.65,48785,48270.01,48335.1,,
1.62E+12,48335.22,48499.99,48000,48035.36,,
1.62E+12,48035.37,48331.91,48000,48171.01,,
1.62E+12,48171.02,48212.85,47401.82,47660.74,,
1.62E+12,47660.75,47753.39,47070,47320.3,,
1.62E+12,47320.3,47725.51,47201.12,47560.96,,
1.62E+12,47562.67,47712.69,47238.32,47267.88,,
1.62E+12,47267.88,47941.03,47104.85,47757.43,,
1.62E+12,47755.08,48450,47655.01,48250.69,,
1.62E+12,48250.7,48623,48109.79,48473.3,,
1.62E+12,48473.3,48690.6,48248.27,48341.01,,
1.62E+12,48341,48734.84,48223.36,48518.5,,
1.62E+12,48518.51,48723,48264.63,48578.71,,
1.62E+12,48577.22,49200,48463.75,48920.88,,
1.62E+12,48920.87,49120.01,48805,48882.2,,
1.62E+12,48882.2,49312,48882.2,49203.25,,
1.62E+12,49203.25,49490,48982.17,49121.95,,
1.62E+12,49121.95,49851,49052.91,49550.58,,
1.62E+12,49550.57,49900.99,49433.88,49551.44,,
1.62E+12,49551.43,49687.98,49296.8,49436.18,,
1.62E+12,49436.18,49459.25,49111.11,49342,,
1.62E+12,49342,49650,49146.68,49458.56,,
1.62E+12,49459.61,50179.17,49327.57,50052.68,,
1.62E+12,50041.84,50839.54,50041.84,50383.09,,
1.62E+12,50384.11,51148.22,50384.11,50943.02,,
1.62E+12,50942.82,50985.84,50448.3,50612.92,,
1.62E+12,50612.92,50899.22,50472.81,50705.52,,
1.62E+12,50705.52,50827.68,50391.19,50746.2,,
1.62E+12,50746.2,50850,50504.22,50764.44,,
1.62E+12,50764.44,51250,50130.65,50646.34,,
1.62E+12,50644.47,50827.93,50375,50585.23,,
1.62E+12,50585.23,51352.1,50585.23,51052.9,,
1.62E+12,51052.89,51201,50757.59,51075.93,,
1.62E+12,51075.92,51085.71,50368.2,50412.31,,
1.62E+12,50412.31,50580.21,50250,50381.68,,
1.62E+12,50381.69,50381.69,49758.01,50036.64,,
1.62E+12,50036.63,50265.81,49833.08,50086.12,,
1.62E+12,50086.11,50784.12,49986.39,50498.55,,
1.62E+12,50498.56,51450.03,50480.89,50971.75,,
1.62E+12,50959.11,51685,50843.59,51491.1,,
1.62E+12,51491.1,51847.38,51250.05,51557.7,,
1.62E+12,51557.7,51594.22,50481.84,50730.82,,
1.62E+12,50730.82,50808.32,50234.98,50598.49,,
1.62E+12,50598.49,50598.5,50100,50417.44,,
1.62E+12,50417.45,50816.16,50355.16,50765.77,,
1.62E+12,50765.77,50944,50150.42,50274.76,,
1.62E+12,50274.76,50427.53,49521.2,49755.24,,
1.62E+12,49755.24,49888.59,49274.67,49880.35,,
1.62E+12,49880.49,50099.97,49400,49880,,
1.62E+12,49883.13,50271.67,49682.3,50061,,
1.62E+12,50061.01,50560,49878,50496.82,,
1.62E+12,50490.39,50550,50100.01,50275,,
1.62E+12,50274.58,51065.63,50265.16,50978.43,,
1.62E+12,50978.42,51233,50122.45,50740.9,,
1.62E+12,50744.26,51220,50541.67,51054.99,,
1.62E+12,51055,51175,50550.01,50664.91,,
1.62E+12,50664.91,50880,50630,50809.04,,
1.62E+12,50801.55,51075.4,50732.36,50803.18,,
1.62E+12,50803.19,51485.35,50790,51310.82,,
1.62E+12,51310.82,51996.58,51236.2,51759.63,,
1.62E+12,51762.77,51927,51505,51848.33,,
1.62E+12,51848.34,51900,51300,51599.99,,
1.62E+12,51599.99,52402.78,51599.99,52375.17,,
1.62E+12,52375.18,52540.48,51789.41,52020.23,,
1.62E+12,52020.24,53760,51981.26,53575.35,,
1.62E+12,53575.35,53799,53250.41,53592.7,,
1.62E+12,53592.84,54100,53452.47,53840.62,,
1.62E+12,53840.63,54040,53484.44,53678.88,,
1.62E+12,53684.14,54400.8,53681.44,54254.52,,
1.62E+12,54254.52,54448,53737,53847.64,,
1.62E+12,53847.64,53890.92,53409.57,53546.9,,
1.62E+12,53546.89,54168.99,53274.96,54023.79,,
1.62E+12,54023.79,54270.27,53872.05,54112.5,,
1.62E+12,54112.5,54355,53875,54159.52,,
1.62E+12,54159.52,54293.97,53917.21,54233.32,,
1.62E+12,54235.88,54236.7,53538.77,53725.5,,
